# PACS_blue
# energy
# PACS70  ESAC web page in energy, corrected for aperture efficiency
 515003 0.00000
 525003 0.00004
 535003 0.00007
 545003 0.00034
 555003 0.00330
 565003 0.02106
 575003 0.05895
 585003 0.11543
 595003 0.18741
 605003 0.26531
 615003 0.31905
 625003 0.38207
 635003 0.43215
 645003 0.49288
 655003 0.50721
 665003 0.50061
 675003 0.48909
 685003 0.44740
 695003 0.43268
 705003 0.43451
 715003 0.44970
 725003 0.45742
 735003 0.46745
 745003 0.48189
 755003 0.49008
 765003 0.47934
 775003 0.45133
 785003 0.39638
 795003 0.37826
 805003 0.34631
 815003 0.29867
 825003 0.23873
 835003 0.17893
 845003 0.13015
 855003 0.10116
 865003 0.07866
 875003 0.05737
 885003 0.04062
 895003 0.02807
 905003 0.02104
 915003 0.01769
 925003 0.01519
 935003 0.01254
 945003 0.00994
 955003 0.00793
 965003 0.00642
 975003 0.00520
 985003 0.00443
 995003 0.00362
1005003 0.00281
1015003 0.00207
1025003 0.00156
1035003 0.00130
1045003 0.00108
1055003 0.00086
1065003 0.00066
1075003 0.00057
1085003 0.00047
1095003 0.00037
1105003 0.00031
1115003 0.00028
1125003 0.00025
1135003 0.00022
1145003 0.00018
1155003 0.00015
1165003 0.00013
1175003 0.00011
1185003 0.00010
1195003 0.00009
1205003 0.00007
1215003 0.00004
1225003 0.00003
1235003 0.00002
1245003 0.00002
1255003 0.00001
1265003 0.00001
1275003 0.00001
1285003 0.00000
